Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
Hubei,Mainland China,2020-02-18T23:13:11,61682,1921,9128
Guangdong,Mainland China,2020-02-18T13:43:02,1328,4,565
Henan,Mainland China,2020-02-18T14:23:02,1257,19,522
Zhejiang,Mainland China,2020-02-18T12:23:02,1172,0,535
Hunan,Mainland China,2020-02-18T13:43:02,1007,4,527
Anhui,Mainland China,2020-02-18T13:43:02,982,6,361
Jiangxi,Mainland China,2020-02-18T01:33:01,933,1,310
Jiangsu,Mainland China,2020-02-18T12:33:02,629,0,280
Chongqing,Mainland China,2020-02-18T23:23:03,555,5,254
Shandong,Mainland China,2020-02-18T12:13:08,543,3,211
Sichuan,Mainland China,2020-02-18T12:33:02,508,3,169
Heilongjiang,Mainland China,2020-02-18T11:03:12,464,11,111
Beijing,Mainland China,2020-02-18T02:13:06,387,4,122
Shanghai,Mainland China,2020-02-18T05:03:08,333,1,177
Hebei,Mainland China,2020-02-18T23:53:01,306,4,136
Fujian,Mainland China,2020-02-18T09:43:08,292,0,93
Guangxi,Mainland China,2020-02-18T12:33:02,242,2,69
Shaanxi,Mainland China,2020-02-18T14:23:02,240,0,89
Yunnan,Mainland China,2020-02-18T09:43:08,172,0,57
Hainan,Mainland China,2020-02-18T10:43:02,163,4,79
Guizhou,Mainland China,2020-02-18T13:33:02,146,2,66
Shanxi,Mainland China,2020-02-18T23:23:03,131,0,61
Tianjin,Mainland China,2020-02-18T13:53:02,128,3,48
Liaoning,Mainland China,2020-02-18T12:53:02,121,1,53
Gansu,Mainland China,2020-02-18T14:53:02,91,2,62
Jilin,Mainland China,2020-02-18T07:43:02,89,1,36
Xinjiang,Mainland China,2020-02-18T01:03:15,76,1,12
Inner Mongolia,Mainland China,2020-02-18T02:03:06,73,0,8
Ningxia,Mainland China,2020-02-18T10:23:03,70,0,42
Qinghai,Mainland China,2020-02-18T07:43:02,18,0,15
Tibet,Mainland China,2020-02-12T06:43:02,1,0,1
