Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
Hubei,Mainland China,1/30/20 16:00,4903.0,162.0,90.0
Zhejiang,Mainland China,1/30/20 16:00,428.0,,4.0
Guangdong,Mainland China,1/30/20 16:00,354.0,,10.0
Henan,Mainland China,1/30/20 16:00,278.0,2.0,2.0
Hunan,Mainland China,1/30/20 16:00,277.0,,2.0
Anhui,Mainland China,1/30/20 16:00,200.0,,2.0
Chongqing,Mainland China,1/30/20 16:00,182.0,,1.0
Jiangxi,Mainland China,1/30/20 16:00,162.0,,5.0
Shandong,Mainland China,1/30/20 16:00,158.0,,1.0
Sichuan,Mainland China,1/30/20 16:00,142.0,1.0,1.0
Jiangsu,Mainland China,1/30/20 16:00,129.0,,1.0
Beijing,Mainland China,1/30/20 16:00,114.0,1.0,4.0
Shanghai,Mainland China,1/30/20 16:00,112.0,1.0,5.0
Fujian,Mainland China,1/30/20 16:00,101.0,,
Guangxi,Mainland China,1/30/20 16:00,78.0,,2.0
Yunnan,Mainland China,1/30/20 16:00,70.0,,
Hebei,Mainland China,1/30/20 16:00,65.0,1.0,
Shaanxi,Mainland China,1/30/20 16:00,63.0,,
Hainan,Mainland China,1/30/20 16:00,46.0,1.0,1.0
Heilongjiang,Mainland China,1/30/20 16:00,44.0,2.0,
Liaoning,Mainland China,1/30/20 16:00,41.0,,1.0
Shanxi,Mainland China,1/30/20 16:00,35.0,,1.0
Tianjin,Mainland China,1/30/20 16:00,31.0,,
Gansu,Mainland China,1/30/20 16:00,26.0,,
Inner Mongolia,Mainland China,1/30/20 16:00,19.0,,
Ningxia,Mainland China,1/30/20 16:00,17.0,,
Jilin,Mainland China,1/30/20 16:00,14.0,,1.0
Xinjiang,Mainland China,1/30/20 16:00,14.0,,
Guizhou,Mainland China,1/30/20 16:00,12.0,,1.0
Qinghai,Mainland China,1/30/20 16:00,8.0,,
Tibet,Mainland China,1/30/20 16:00,1.0,,
