Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
Hubei,Mainland China,2020-03-01T10:13:19,66907,2761,31536,30.9756,112.2707
Guangdong,Mainland China,2020-03-01T14:13:18,1349,7,1016,23.3417,113.4244
Henan,Mainland China,2020-03-01T14:13:18,1272,22,1198,33.882,113.614
Zhejiang,Mainland China,2020-03-01T10:13:33,1205,1,1046,29.1832,120.0934
Hunan,Mainland China,2020-03-01T10:03:03,1018,4,866,27.6104,111.7088
Anhui,Mainland China,2020-03-01T10:03:03,990,6,873,31.8257,117.2264
Jiangxi,Mainland China,2020-03-01T01:13:10,935,1,831,27.614,115.7221
Shandong,Mainland China,2020-03-01T11:33:03,758,6,443,36.3427,118.1498
Jiangsu,Mainland China,2020-03-01T10:03:03,631,0,536,32.9711,119.455
Chongqing,Mainland China,2020-03-01T23:13:08,576,6,450,30.0572,107.874
Sichuan,Mainland China,2020-03-01T11:43:02,538,3,365,30.6171,102.7103
Heilongjiang,Mainland China,2020-03-01T11:33:03,480,13,342,47.862,127.7615
Beijing,Mainland China,2020-03-01T02:53:03,413,8,276,40.1824,116.4142
Shanghai,Mainland China,2020-03-01T07:13:07,337,3,290,31.202,121.4491
Hebei,Mainland China,2020-03-01T14:13:18,318,6,294,38.0428,114.5149
Fujian,Mainland China,2020-03-01T09:43:03,296,1,247,26.0789,117.9874
Guangxi,Mainland China,2020-03-01T09:43:03,252,2,181,23.8298,108.7881
Shaanxi,Mainland China,2020-03-01T09:43:03,245,1,208,35.1917,108.8701
Yunnan,Mainland China,2020-03-01T07:13:07,174,2,163,24.974,101.487
Hainan,Mainland China,2020-03-01T10:13:38,168,5,149,19.1959,109.7453
Guizhou,Mainland China,2020-02-27T00:43:02,146,2,112,26.8154,106.8748
Tianjin,Mainland China,2020-03-01T12:43:02,136,3,111,39.3054,117.323
Shanxi,Mainland China,2020-03-01T23:13:08,133,0,116,37.5777,112.2922
Liaoning,Mainland China,2020-03-01T12:23:06,122,1,103,41.2956,122.6085
Jilin,Mainland China,2020-03-01T09:43:03,93,1,78,43.6661,126.1923
Gansu,Mainland China,2020-03-01T14:33:17,91,2,84,36.0611,103.8343
Xinjiang,Mainland China,2020-03-01T10:03:03,76,3,64,41.1129,85.2401
Inner Mongolia,Mainland China,2020-03-01T10:03:03,75,0,52,44.0935,113.9448
Ningxia,Mainland China,2020-02-29T05:53:02,73,0,69,37.2692,106.1655
Qinghai,Mainland China,2020-02-21T04:43:02,18,0,18,35.7452,95.9956
Tibet,Mainland China,2020-02-12T06:43:02,1,0,1,31.6927,88.0924
